battery_id,battery_formula,working_ion,elements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,energy_grav,stability_charge,stability_discharge,material_ids,fields_not_requested
mp-8636_Li,Li0-3Nb,Li,['Nb'],Nb,Li3Nb,2.381495673405851,-0.825405963333333,706.9804076667937,-583.5458444480029,0.32016415999999903,0.6990955125,"['mp-mue', 'mp-cplga']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-80_Li,Li0-3Sb,Li,['Sb'],Sb,Li3Sb,1.900682190961946,0.9993324100000001,563.9132535862739,563.5367907373123,0.290331829999999,0.0029604249999990004,"['mp-dc', 'mp-ltz']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-867343_Li,Li0-3Cd,Li,['Cd'],Cd,Li3Cd,2.204349168650668,0.24132835666666502,603.4829205464947,145.63754149188568,0.0,0.0,"['mp-ckkoz', 'mp-cpiuw', 'mp-bxjbj']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1009747_Li,Li0-1ScSn,Li,"['Sc', 'Sn']",ScSn,LiScSn,0.028635769640029004,1.039233483333333,157.09493144899014,163.25831282374517,1.036799461964285,0.47984648566666505,"['mp-cflsl', 'mp-ckpwo']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1045397_Li,Li0-0.5NiS2,Li,"['Ni', 'S']",NiS2,Li(NiS2)2,0.06673236278446801,1.895683458333335,106.10758376043455,201.1463913383746,0.043764471666666006,0.06336585785714301,"['mp-defhr', 'mp-chmlp']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1045514_Li,Li0-0.5CrO2,Li,"['Cr', 'O']",CrO2,LiCr2O4,0.025467479299231002,3.8808024583333323,153.21190519544808,594.5851383284283,0.16556981666665002,0.114167529603172,"['mp-dbayy', 'mp-chmqc']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1045401_Li,Li0-0.5MnS2,Li,"['Mn', 'S']",MnS2,Li(MnS2)2,0.091171430142557,1.912960288333335,109.35939032638217,209.2001708507138,0.011561333333332001,0.0,"['mp-dawjk', 'mp-chmlt', 'mp-chmnb']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1001833_Li,Li0-2InBi,Li,"['In', 'Bi']",InBi,Li2InBi,12.612894103147308,-1.851908611666666,158.73874317469355,-293.9696454903583,0.025940062499999,1.2965093675000001,"['mp-cfaab', 'mp-ckkkb']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1009755_Li,Li0-1Ca2Ge,Li,"['Ca', 'Ge']",Ca2Ge,LiCa2Ge,0.044967602287496,-0.21653116666666603,167.78505384077508,-36.33069345737251,0.015851089999999003,0.06602110916666601,"['mp-cflst', 'mp-cqrfi']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1009555_Li,Li0-1CrO2,Li,"['Cr', 'O']",CrO2,LiCrO2,0.15513928434877802,-0.34881119666666505,294.72937690575327,-102.80490665131644,0.192758304999983,1.104617734999999,"['mp-cfllb', 'mp-csjak']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1002219_Li,Li0-2TlSb,Li,"['Tl', 'Sb']",TlSb,Li2TlSb,13.165226930395367,-1.594360416666667,157.64404087204034,-251.34141868976332,0.071025235,1.291354159583333,"['mp-cfaox', 'mp-cklqq']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1009756_Li,Li0-1Ca2Pb,Li,"['Ca', 'Pb']",Ca2Pb,LiCa2Pb,0.034131055101368005,0.038523213333333,91.06950171209319,3.508289842615389,0.03600977,0.020861778749999,"['mp-cflsu', 'mp-cplll']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1008911_Li,Li0-1MnAs,Li,"['Mn', 'As']",MnAs,LiMnAs,0.182656531783761,1.221144383333333,195.91633610619226,239.24213343932217,0.44509168,0.145942876340997,"['mp-cfkut', 'mp-cfkmh']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1018126_Li,Li0-2GaBi,Li,"['Ga', 'Bi']",GaBi,Li2GaBi,15.397663373396814,-1.974654601666666,183.20450128655696,-361.76561151154647,0.027117036249999,1.371066738035714,"['mp-cfycs', 'mp-ckfrg']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1040470_Li,Li0-1FeS2,Li,"['Fe', 'S']",FeS2,LiFeS2,0.14159933107925401,1.846232270833334,211.17495938545093,389.87802480933817,0.250639878333333,0.161773218125,"['mp-dbgvo', 'mp-dbxvm', 'mp-chfec', 'mp-coysh']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1045358_Li,Li0-0.5CrS2,Li,"['Cr', 'S']",CrS2,Li(CrS2)2,0.177575623477484,2.559675703333337,112.04951121254238,286.81041142112116,0.029461006666667,0.0077217049999990005,"['mp-decog', 'mp-dcbsm', 'mp-chmkc', 'mp-csmnq', 'mp-chmmy']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1045389_Li,Li0-0.5VS2,Li,"['V', 'S']",VS2,Li(VS2)2,0.14419198713998002,1.860350628333333,113.04635127365782,210.30585062274005,0.08818589750000001,0.075092081666665,"['mp-dbypi', 'mp-chmnj', 'mp-chmlh']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1039025_Li,Li0-2MgCd,Li,"['Mg', 'Cd']",MgCd,Li2MgCd,0.07317717095405901,0.8267997883333331,355.93409136062746,294.2862313975841,0.560640674999999,0.0,"['mp-chdan', 'mp-croqy']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
